id;control;cultivar;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
32;ti_Grenache;Grenache;19.753;22.418;18.488;4.924;19.945;30.867;1.541;15.367;13.012;6.100;6.268;12.138;17.212;12.094;16.473;0;15.851;6.043;12.090;18.136;3.289;1.305;484;406;0;0;0;0;0;0;298;0;0;0;0;0;0;0;0;0;0;1.180;0;0;0;0;0;0;0;nd;1.130;1.715.870;*;830
33;ti_Jaen;Jaen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;576;2.824;4.290;215;1.037;3.642;0;0;0;0;0;0;0;0;0;nd;0;0;*;
34;ti_Lagrein;Lagrein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;420;670;5.670;3.288;800;15.300;750;1.400;0;1.430;2.700;nd;3.020;94.970;*;3.100
35;ti_Lambrusco;Lambrusco;2.259;2.670;100;0;0;0;0;0;0;949;3.566;13.886;300;13.145;28.317;14.360;6.245;7.887;5.543;52.860;15.560;23.396;32.453;2.985;67.420;14.287;20.805;46.645;45.240;67.305;45.815;82.657;143.175;156.548;113.831;96.040;75.631;96.068;113.388;111.537;68.480;94.480;52.740;56.120;29.890;39.990;19.784;61.779;44.511;nd;29.320;3.221.972;*;15.620
36;ti_Malbec;Malbec;4.097;4.884;0;200;6.167;2.012;1.992;2.219;2.228;2.017;0;12.745;14.466;18.205;22.839;39.347;23.431;10.121;64.701;37.043;69.305;50.169;125.463;63.531;85.941;58.659;205.117;63.518;12.977;43.135;105.730;45.079;65.886;69.353;98.686;133.965;148.733;399.928;414.138;393.256;318.059;636.608;629.019;590.041;616.160;624.096;267.885;740.327;628.780;nd;493.966;8.502.206;*;584.141
37;ti_Marzemina;Marzemina;62.546;66.569;138.699;49.930;136.790;132.188;129.224;132.412;94.683;191.801;91.706;108.290;88.008;115.906;231.695;352.748;159.440;162.480;244.605;203.600;143.957;106.385;105.326;93.335;84.677;55.191;49.350;42.699;1.390;0;7.765;12.261;25.121;11.607;8.303;16.200;9.185;0;0;0;0;5.460;0;0;4.180;750;0;0;0;nd;0;0;*;390
38;ti_Merlot;Merlot;185.596;164.533;198.870;263.765;1.050.036;1.409.406;1.538.351;2.257.565;2.793.801;3.240.761;1.907.623;4.618.249;5.762.774;3.099.201;4.939.522;6.965.153;4.775.740;4.310.762;6.278.832;6.258.967;6.440.525;4.275.871;5.014.804;4.827.232;5.881.174;4.320.777;4.230.298;5.443.902;3.188.079;5.071.616;6.223.276;4.962.355;5.836.525;6.826.491;9.886.980;10.632.174;8.449.561;11.399.362;11.866.618;8.876.279;6.179.006;12.510.489;9.645.204;10.179.782;7.846.034;8.030.882;3.286.035;8.309.646;6.257.492;nd;6.010.486;494.356;*;7.179.442
39;ti_Marselan;Marselan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28.868;66.815;109.574;181.823;228.360;200.025;339.023;261.314;345.504;404.323;411.105;205.095;385.945;384.278;nd;449.156;154.348;*;988.860
40;ti_Mistura de uvas viníferas tinto ;Mistura de uvas viníferas tinto ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;700
41;ti_Molinera;Molinera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;692;650;100;1.080;990;1.009;1.023;1.080;324;1.480;1.900;nd;2.198;569;*;2.600
42;ti_Montepulciano;Montepulciano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.721;21.150;24.390;30.820;34.060;21.190;17.959;21.115;27.678;41.888;26.280;25.640;13.330;28.008;23.306;nd;22.968;28.485;*;42.503
43;ti_Moscato Bailey;Moscato Bailey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152.136;nd;206.348;3.541.181;*;170.188
44;ti_Napa Gamay;Napa Gamay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107.495;9.665;0;0;102.650;57.830;193.570;149.800;194.760;283.550;258.640;254.730;348.190;270.240;238.000;216.540;290.790;248.160;136.760;39.250;265.240;225.660;114.690;175.040;179.050;74.640;0;31.410;86.650;55.550;16.380;8.970;0;0;0;nd;0;0;*;0
45;ti_Nebbiolo;Nebbiolo;0;0;0;0;0;0;0;0;0;700;1.400;0;600;0;0;0;357;4.000;6.454;0;28.600;226.893;200.187;0;0;16.293;89.670;13.639;12.305;0;80;0;0;4.000;4.664;6.671;11.082;13.971;10.019;14.148;11.986;21.342;37.530;9.327;7.223;12.754;3.117;5.494;9.236;nd;8.642;254.738;*;26.788
46;ti_Petit Verdot;Petit Verdot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.994;41.706;45.425;57.029;50.933;56.031;109.942;127.549;102.402;167.522;75.010;135.770;116.266;230.640;83.552;nd;228.503;277.189;*;207.896
47;ti_Petite Sirah;Petite Sirah;0;0;0;0;0;0;0;0;0;0;0;0;0;836.158;33.693;73.075;99.786;61.205;140.196;223.434;208.765;86.215;102.830;92.638;117.771;112.839;92.374;222.324;78.455;109.791;177.654;109.805;106.091;28.210;64.909;137.568;87.550;99.577;77.759;121.525;29.457;98.861;149.196;105.934;47.834;48.483;24.564;92.818;110.361;nd;174.949;198.152;*;173.887
48;ti_Pinotage;Pinotage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.861;15.236;13.483;9.527;19.945;44.697;76.979;97.269;231.618;286.349;409.495;367.315;641.203;524.028;629.762;935.337;1.851.305;1.432.456;1.111.531;1.181.440;1.471.881;1.994.817;996.781;1.113.861;1.578.657;978.575;644.072;1.075.863;863.296;816.883;479.202;560.195;119.773;474.105;398.794;nd;302.532;1.281.674;*;397.456
49;ti_Pinot Noir;Pinot Noir;0;0;13.440;10.433;18.178;14.724;2.204;1.368;1.538;2.217;20.601;7.076;10.948;14.049;37.268;127.953;202.820;125.181;350.891;360.511;409.901;320.721;421.419;467.644;573.840;505.493;604.623;594.713;276.386;471.462;621.890;479.490;496.588;443.895;1.054.529;1.704.403;1.161.465;1.270.351;1.930.823;1.387.200;1.309.849;2.513.274;2.799.071;2.392.357;2.592.701;3.125.882;1.279.105;3.676.000;3.240.209;nd;3.588.106;6.184.345;*;4.182.135
50;ti_Pinot Saint George;Pinot Saint George;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47.600;45.000;83.400;67.500;118.160;84.550;159.380;187.870;199.540;189.480;209.420;210.980;171.750;195.560;255.810;121.430;114.360;10.840;114.110;176.810;48.830;72.560;28.170;29.180;0;7.600;20.920;14.120;2.480;0;0;0;0;nd;0;0;*;5.060
51;ti_Piriquita;Piriquita;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.845;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
52;ti_Primitivo;Primitivo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;1.650
53;ti_Rebo;Rebo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;550;3.000;7.610;4.240;1.650;27.620;16.440;19.780;13.420;22.290;12.470;44.440;94.480;nd;177.172;15.912;*;330.784
54;ti_Refosco;Refosco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.155;42.207;26.537;17.415;59.340;10.430;9.466;18.705;12.120;12.080;13.240;9.310;3.260;5.240;7.320;nd;0;380;*;0
55;ti_Rondinella;Rondinella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;668;648;100;1.150;1.020;1.089;1.053;1.110;333;1.899;1.990;nd;2.340;684.860;*;5.280
56;ti_Ruby Cabernet;Ruby Cabernet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204;426;21;700;6.800;4.678;0;0;220;2.119;5.813;13.553;16.653;17.004;16.033;24.678;42.699;76.483;178.033;264.363;595.080;546.629;654.931;782.800;679.484;532.095;379.720;582.497;470.683;526.124;486.527;388.019;220.231;382.994;248.992;nd;218.783;78.412;*;163.069
57;ti_Sangiovese;Sangiovese;27.566;59.316;62.175;38.315;59.834;63.279;46.663;71.194;49.178;131.721;166.706;162.563;182.898;173.104;173.005;144.839;77.509;90.701;118.475;96.497;59.620;244.050;254.588;34.344;99.024;13.099;8.042;3.312;0;0;684;1.306;15.572;33.400;127.049;190.769;133.402;115.475;405.224;303.438;258.484;359.833;280.756;277.679;122.632;135.962;26.601;89.404;63.832;nd;85.292;3.324.793;*;92.540
58;ti_Saperavi ;Saperavi ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;13.323
59;ti_Sira (falsa);Sira (falsa);3.127.989;3.886.509;3.299.301;2.179.909;2.623.809;4.303.504;3.705.465;2.780.195;3.004.243;3.141.820;2.067.161;2.015.864;2.113.514;484.585;1.176.744;1.272.377;695.871;520.216;228.050;191.080;182.243;46.003;45.992;43.674;4.781;5.327;0;28.137;0;0;0;807;0;559;4.792;0;0;0;14.145;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
60;ti_Tannat;Tannat;0;0;0;0;0;0;0;0;0;0;0;0;0;65.320;65.320;43.800;68.352;43.762;129.001;137.749;351.017;532.348;1.153.030;948.885;2.153.279;1.791.208;1.762.327;1.511.421;1.270.299;2.077.578;3.487.128;2.051.940;1.893.300;2.285.423;3.263.479;4.561.255;3.055.931;3.514.880;4.711.255;4.199.190;2.266.985;4.152.135;4.585.214;3.612.439;2.644.014;2.761.604;985.207;3.668.851;2.940.306;nd;3.571.972;2.634.802;*;5.712.207
61;ti_Tempranillo;Tempranillo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.160;59.028;96.125;111.158;192.063;241.017;242.484;63.526;256.836;283.929;219.163;119.398;182.579;210.551;357.637;278.456;nd;442.330;968.038;*;375.165
62;ti_Teroldego;Teroldego;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.193;41.912;51.645;61.659;69.876;105.372;68.593;179.095;157.368;124.542;87.820;97.455;34.019;87.034;77.625;nd;106.764;717.757;*;123.714
63;ti_Torrontes;Torrontes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.300;3.090;9.580;10.070;1.490;14.630;16.350;nd;9.700;0;*;23.500
64;ti_Tinta Barroca;Tinta Barroca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.520;12.870;6.710;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
65;ti_Tinta Roriz ;Tinta Roriz ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;3.006
66;ti_Touriga Francesa;Touriga Francesa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.775;4.680;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
67;ti_Touriga Nacional;Touriga Nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.448;52.099;42.376;127.462;101.376;131.833;97.629;189.928;133.820;136.565;86.460;136.611;53.552;108.245;122.015;nd;150.166;38.910;*;171.866
68;ti_Tinta Madeira;Tinta Madeira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.508;1.733;179;1.493;0;54;0;0;0;0;0;0;0;0;0;0;0;1.300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
69;ti_Tintoria;Tintoria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.260;0;14.930;0;0;14.526;7.218;0;0;0;0;3.035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
70;ti_Trincdeira;Trincdeira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.996;5.780;3.591;255;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
71;ti_Trousseau;Trousseau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
72;ti_Zinfandel;Zinfandel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198;41.460;45.226;70.341;310.520;1.567.535;1.216.093;1.816.589;2.500.275;2.517.495;1.885.121;1.011.625;1.689.415;593.579;84.271;189.989;140.148;74.289;60.875;1.541;479;0;0;0;0;372;0;0;0;0;0;0;0;0;nd;0;0;*;0
73;ti_Outras1;Outras1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.690;10.833;15.000;620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
74;BRANCASEROSADAS;BRANCAS E ROSADAS;18.858.541;22.168.237;18.073.470;12.213.901;25.625.874;29.361.700;29.805.536;32.674.849;30.557.815;36.390.466;28.354.293;39.473.039;46.757.024;32.040.687;41.615.070;66.103.513;47.542.250;48.998.099;77.578.061;76.181.146;73.556.749;46.526.526;53.561.836;53.106.956;52.888.752;46.675.896;42.887.098;44.119.355;32.115.220;40.486.844;49.613.743;31.608.881;28.623.940;21.018.356;27.340.450;29.066.571;22.335.925;28.254.191;34.602.464;32.556.903;22.104.122;37.931.015;36.519.724;36.958.341;35.769.155;40.130.577;18.769.366;44.058.213;38.722.156;nd;41.004.206;71.266.239;*;63.676.298
75;br_Aliatico;Aliatico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.587;1.850;444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
76;br_Aligote;Aligote;530;1.000;1.969;0;618;5.009;372;0;720;0;0;482;590;756;938;0;0;0;0;0;0;0;0;0;0;53.465;0;0;23.716;0;0;0;90;0;0;0;0;0;0;0;0;2.640;0;0;0;0;0;0;0;nd;0;0;*;0
